Row Labels,Count of 2022 NAICS code
"Atascosa County, Texas",64
Ambulatory health care services,2
Child Care Services,6
Health care and social assistance,3
Home Health Care Services,6
Individual and Family Services,2
Nursing and Residential Care Facilities,2
Nursing Care Facilities (Skilled Nursing Facilities),6
Offices of All Other Health Practitioners,2
Offices of All Other Miscellaneous Health Practitioners,2
Offices of Dentists,6
Offices of Optometrists,4
Offices of other health practitioners,2
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",4
Offices of Physicians,4
Offices of Physicians (except Mental Health Specialists),2
Other Individual and Family Services,4
Other Outpatient Care Centers,2
Outpatient Care Centers,2
Social Assistance,3
"Bandera County, Texas",21
Ambulatory health care services,2
Health care and social assistance,3
Individual and Family Services,2
Nursing and Residential Care Facilities,1
Offices of other health practitioners,2
Offices of Physicians,4
Offices of Physicians (except Mental Health Specialists),2
Other Individual and Family Services,2
Social Assistance,3
"Bexar County, Texas",228
All Other Ambulatory Health Care Services,3
All Other Miscellaneous Ambulatory Health Care Services,2
All Other Outpatient Care Centers,3
Ambulance Services,4
Ambulatory health care services,3
Assisted Living Facilities for the Elderly,3
Blood and Organ Banks,3
Child and Youth Services,6
Child Care Services,9
"Community Food and Housing, and Emergency and Other Relief Services",2
Community Food Services,4
Community Housing Services,2
Continuing Care Retirement Communities,3
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,6
Diagnostic Imaging Centers,2
Emergency and other relief services,4
Family Planning Centers,6
Freestanding Ambulatory Surgical and Emergency Centers,2
General Medical and Surgical Hospitals,9
"General medical and surgical hospitals, except government",2
"General medical and surgical hospitals, government",2
Health care and social assistance,3
Home Health Care Services,9
Hospitals,3
Individual and Family Services,3
Kidney dialysis centers,2
Medical and Diagnostic Laboratories,4
Medical Laboratories,2
Nursing and Residential Care Facilities,3
Nursing Care Facilities (Skilled Nursing Facilities),6
Offices of All Other Health Practitioners,2
Offices of All Other Miscellaneous Health Practitioners,2
Offices of chiropractors,4
Offices of Dentists,6
Offices of Mental Health Practitioners (except Physicians),4
Offices of Optometrists,4
Offices of other health practitioners,2
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",4
Offices of Physicians,4
Offices of Physicians (except Mental Health Specialists),2
"Offices of Physicians, Mental Health Specialists",2
Offices of Podiatrists,2
Other ambulatory health care services,3
Other Community Housing Services,2
Other Individual and Family Services,6
Other Outpatient Care Centers,3
Other Residential Care Facilities,6
Outpatient Care Centers,3
Outpatient Mental Health and Substance Abuse Centers,6
Psychiatric and Substance Abuse Hospitals,3
Residential Intellectual and Developmental Disability Facilities,6
"Residential intellectual and developmental disability, mental health, and substance abuse facilities",3
Residential Mental Health and Substance Abuse Facilities,6
Services for the Elderly and Persons with Disabilities,6
Social Assistance,3
Specialty (except Psychiatric and Substance Abuse) Hospitals,6
"Specialty (except psychiatric and substance abuse) hospitals, except government",2
Temporary Shelters,2
Vocational Rehabilitation Services,9
"Comal County, Texas",135
All Other Ambulatory Health Care Services,2
All Other Miscellaneous Ambulatory Health Care Services,2
All Other Outpatient Care Centers,3
Ambulatory health care services,3
Assisted Living Facilities for the Elderly,2
Child and Youth Services,4
Child Care Services,6
"Community Food and Housing, and Emergency and Other Relief Services",2
Community Housing Services,2
Continuing Care Retirement Communities,1
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,4
Diagnostic Imaging Centers,2
Family Planning Centers,4
Freestanding Ambulatory Surgical and Emergency Centers,2
Health care and social assistance,3
Home Health Care Services,6
Hospitals,2
Individual and Family Services,3
Medical and Diagnostic Laboratories,4
Medical Laboratories,2
Nursing and Residential Care Facilities,3
Nursing Care Facilities (Skilled Nursing Facilities),6
Offices of All Other Health Practitioners,2
Offices of All Other Miscellaneous Health Practitioners,2
Offices of chiropractors,4
Offices of Dentists,6
Offices of Mental Health Practitioners (except Physicians),4
Offices of Optometrists,4
Offices of other health practitioners,2
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",4
Offices of Physicians,4
Offices of Physicians (except Mental Health Specialists),2
"Offices of Physicians, Mental Health Specialists",2
Offices of Podiatrists,2
Other ambulatory health care services,2
Other Community Housing Services,2
Other Individual and Family Services,6
Other Outpatient Care Centers,3
Outpatient Care Centers,3
Outpatient Mental Health and Substance Abuse Centers,4
Services for the Elderly and Persons with Disabilities,6
Social Assistance,3
"Guadalupe County, Texas",115
All Other Outpatient Care Centers,1
Ambulance Services,4
Ambulatory health care services,2
Assisted Living Facilities for the Elderly,2
Child and Youth Services,4
Child Care Services,9
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,4
Diagnostic Imaging Centers,2
Freestanding Ambulatory Surgical and Emergency Centers,2
Health care and social assistance,3
Home Health Care Services,6
Individual and Family Services,3
Kidney dialysis centers,2
Medical and Diagnostic Laboratories,4
Nursing and Residential Care Facilities,2
Nursing Care Facilities (Skilled Nursing Facilities),6
Offices of All Other Health Practitioners,2
Offices of All Other Miscellaneous Health Practitioners,2
Offices of chiropractors,4
Offices of Dentists,6
